Sample,depth
SRR7102746_clean.fastq.TPM,1997
SRR29635772,884
SRR29635773,1200
SRR29635774,1536
SRR29635775,960
SRR29635776,710
SRR29635778,963
SRR29635779,643
SRR29635780,960
Uti3wel1S1Day1,1000
Uti3wel1S1Day9,1000
Uti3we1S1Day17,1000
Uti3we1S1Day23,1000
Uti3we1S1Day59,1000
Uti3we1S1Day87,1000
Uti3w1S1Day122,1000
Uti22014_10_10,1000
Uti22014_10_11_2,1000
Uti22014_10_12,1000
Uti22014_10_16,1000
Uti22014_10_18_2,1000
Uti22014_10_20_2,1000
Uti22014_10_22_2,1000
Uti2S2014_1_29,1000
Uti2S2014_11_5_2,1000
Uti22014_11_19,1000
Uti2S2014_12_3,1000
Uti22014_12_17,1000
Uti2Se2015_1_7,1000
Uti2Se2015_2_5,1000
Uti2S2015_5_14,1000
SRR23823873,1890
SRR23823872,1890
SRR23823861,1890
SRR23823850,1890
SRR23823839,1890
SRR23823828,1890
SRR23823817,1890
SRR23823806,1890
SRR23823797,1890
SRR23823796,1890
SRR23823871,1890
SRR23823870,1890
SRR23823869,1890
SRR23823868,1890
SRR23823867,1890
SRR23823866,1890
SRR23823865,1890
SRR23823864,1890
SRR23823863,1890
SRR23823862,1890
SRR23823860,1890
SRR23823859,1890
SRR23823858,1890
SRR23823857,1890
SRR23823856,1890
SRR23823855,1890
SRR23823854,1890
SRR23823853,1890
SRR23823852,1890
SRR23823851,1890
SRR23823849,1890
SRR23823848,1890
SRR23823847,1890
SRR23823846,1890
SRR23823845,1890
SRR23823844,1890
SRR23823843,1890
SRR23823842,1890
SRR23823841,1890
SRR23823840,1890
SRR23823838,1890
SRR23823837,1890
SRR23823836,1890
SRR23823835,1890
SRR23823834,1890
SRR5279630,2700
SRR5279631,2700
ERR7625732,500
ERR7625733,500
ERR7625734,500
ERR7625735,500
ERR7625736,500
ERR7625737,500
ERR7625738,500
ERR7625739,500
ERR7625740,500
ERR7625741,500
ERR7625742,500
ERR7625743,500
ERR7625744,500
ERR7625745,500
ERR7625746,500
ERR7625747,500
ERR7625748,500
ERR7625749,500
ERR7625750,500
ERR7625751,500
ERR7625752,500
ERR7625753,500
ERR7625754,500
SRR24974065,700
SRR24974066,700
SRR24974067,700
SRR24974068,700
SRR24974070,700
SRR24974071,700
SRR21291827,785.7
SRR21291828,681.3
SRR21291829,603.5
SRR21291830,598.4
SRR21291831,582.6
SRR21291832,519.4
SRR1976948,1300
SRR1977249,1300
SRR1977304,2925
SRR1977357,1967.5
SRR1977365,1967.5
SRR5352271,1558.2
SRR5352272,1499.4
SRR5352273,1809.5
SRR6186653,2800
SRR7517648,607
SRR7517649,420
SRR1290764,800
SRR1290767,800
SRR1290769,800
SRR1290771,800
SRR1290772,800
SRR1290774,800
SRR942928,800
SRR943316,800
SRR943317,800
SRR943318,800
SRR943319,800
SRR943320,800
SRR13427962,850
SRR13427963,850
SRR13427964,850
SRR13427965,850
SRR13427966,850
SRR13427967,850
SRR13427968,850
SRR13427969,850
SRR13427970,850
SRR13427971,850
SRR10302630,3350
SRR10302631,3350
SRR10302632,3350
SRR10302633,3350
SRR12344465,1450
SRR12344466,1450
SRR12344468,1450
CRR933400,1060
CRR933435,989.1
CRR933436,1009.4
CRR933437,1039.55
CRR933404,1009.4
CRR933438,1213.8
CRR933443,1096.6
CRR933405,986.5
CRR933439,1069.6
CRR933440,1053.6
CRR933441,1024
CRR933406,1034
CRR933442,1024
CRR933407,1039.55
CRR933321,1000
CRR933322,1000
CRR933323,1000
CRR933431,1067
CRR933432,1067
CRR933433,1067
CRR933434,1067
CRR933408,1590
CRR933409,1781
CRR933411,1570
CRR933412,1711
CRR933413,1505
CRR933410,1513
CRR933414,1700
CRR933415,1646
CRR933416,1645
CRR933325,1170
CRR933417,1253.4
CRR933393,1600
CRR933418,1355.95
CRR933419,1538
CRR933394,1355.95
CRR933395,1324.45
CRR933420,1530
CRR933319,1350
CRR933318,1350
CRR933320,1357
CRR933427,1091.26
CRR933396,1920
CRR933426,2900
SRR21291833,365.76
SRR21291834,242.94
SRR1539101,226
SRR6515492,366.7
SRR6516019,366.7
SRR6976411,366.7
SRR9644739,366.7
SRR9644740,366.7
SRR9644741,366.7
SRR9644742,366.7
SRR7193715,366.7
SRR10598173,448.37
SRR10598174,448.37
SRR10598175,415.19
SRR10598176,415.19
SRR10598177,170.84
SRR10598178,170.84
SRR10598216,448.37
SRR10598217,448.37
SRR10598218,448.37
SRR10598219,415.19
SRR10598220,415.19
SRR10598221,415.19
SRR10598222,170.84
SRR10598223,170.84
SRR10598224,170.84
SRR13192682,400
SRR13192683,400
SRR13192684,400
CRR933399,476
CRR933401,399.185
CRR933324,350
CRR933402,340
CRR933403,340
CRR933397,149
CRR933428,142.75
CRR933429,153.5
CRR933398,399.185
CRR933430,397.75
CRR933421,167.8
CRR933422,167.8
CRR933423,253.9
CRR933424,379
CRR933425,167.8
Unknown_BV499.008R0001_good,1000
Unknown_BV499.008R0002_good,1000
Unknown_BV499.008R0003_good,1000
Unknown_BV499.008R0004_good,1000
Unknown_BV499.008R0005_good,1000
Unknown_BV499.003R0001_good,1000
Unknown_BV499.003R0002_good,1000
Unknown_BV499.003R0003_good,1000
Unknown_BV499.003R0004_good,1000
Unknown_BV499.003R0006_good,2000
Unknown_BV499.003R0007_good,2000
Unknown_BV499.003R0009_good,2000
