Sample,group,depth,country,BioProject
SRR7102746_clean.fastq.TPM,deep_water,1997,Russia,PRJNA454794
SRR29635772,deep_water,884,Israel,PRJNA983765
SRR29635773,deep_water,1200,Israel,PRJNA983765
SRR29635774,deep_water,1536,Israel,PRJNA983765
SRR29635775,deep_water,960,Israel,PRJNA983765
SRR29635776,deep_water,710,Israel,PRJNA983765
SRR29635778,deep_water,963,Israel,PRJNA983765
SRR29635779,deep_water,643,Israel,PRJNA983765
SRR29635780,deep_water,960,Israel,PRJNA983765
ERR7625732,deep_water,500,Finland,PRJEB48900
ERR7625733,deep_water,500,Finland,PRJEB48900
ERR7625734,deep_water,500,Finland,PRJEB48900
ERR7625735,deep_water,500,Finland,PRJEB48900
ERR7625736,deep_water,500,Finland,PRJEB48900
ERR7625737,deep_water,500,Finland,PRJEB48900
ERR7625738,deep_water,500,Finland,PRJEB48900
ERR7625739,deep_water,500,Finland,PRJEB48900
ERR7625740,deep_water,500,Finland,PRJEB48900
ERR7625741,deep_water,500,Finland,PRJEB48900
ERR7625742,deep_water,500,Finland,PRJEB48900
ERR7625743,deep_water,500,Finland,PRJEB48900
ERR7625744,deep_water,500,Finland,PRJEB48900
ERR7625745,deep_water,500,Finland,PRJEB48900
ERR7625746,deep_water,500,Finland,PRJEB48900
ERR7625747,deep_water,500,Finland,PRJEB48900
ERR7625748,deep_water,500,Finland,PRJEB48900
ERR7625749,deep_water,500,Finland,PRJEB48900
ERR7625750,deep_water,500,Finland,PRJEB48900
ERR7625751,deep_water,500,Finland,PRJEB48900
ERR7625752,deep_water,500,Finland,PRJEB48900
ERR7625753,deep_water,500,Finland,PRJEB48900
ERR7625754,deep_water,500,Finland,PRJEB48900
SRR6186653,deep_water,2800,Russia,PRJNA414521
SRR10598173,deep_water,448.37,Sweden,PRJNA279923
SRR10598174,deep_water,448.37,Sweden,PRJNA279923
SRR10598175,deep_water,415.19,Sweden,PRJNA279923
SRR10598176,deep_water,415.19,Sweden,PRJNA279923
SRR10598177,deep_water,170.84,Sweden,PRJNA279923
SRR10598178,deep_water,170.84,Sweden,PRJNA279923
SRR10598216,deep_water,448.37,Sweden,PRJNA279923
SRR10598217,deep_water,448.37,Sweden,PRJNA279923
SRR10598218,deep_water,448.37,Sweden,PRJNA279923
SRR10598219,deep_water,415.19,Sweden,PRJNA279923
SRR10598220,deep_water,415.19,Sweden,PRJNA279923
SRR10598221,deep_water,415.19,Sweden,PRJNA279923
SRR10598222,deep_water,170.84,Sweden,PRJNA279923
SRR10598223,deep_water,170.84,Sweden,PRJNA279923
SRR10598224,deep_water,170.84,Sweden,PRJNA279923
SRR1976948,oil,1300,USA,PRJNA278302
SRR1977249,oil,1300,USA,PRJNA278302
SRR1977304,oil,2925,USA,PRJNA278302
SRR1977357,oil,1967.5,USA,PRJNA278302
SRR1977365,oil,1967.5,USA,PRJNA278302
SRR5352271,oil,1558.2,China,PRJNA378566
SRR5352272,oil,1499.4,China,PRJNA378566
SRR5352273,oil,1809.5,China,PRJNA378566
SRR13427962,oil,850,Canada,PRJNA691618
SRR13427963,oil,850,Canada,PRJNA691618
SRR13427964,oil,850,Canada,PRJNA691618
SRR13427965,oil,850,Canada,PRJNA691618
SRR13427966,oil,850,Canada,PRJNA691618
