ID,Latitude,N_OR_S,Longitude,E_OR_W,depth,BioProject,country,state,group,number
1,58.4496,N,85.0279,E,1997,PRJNA454794,Russia,Europe,Deep aquifer water,1
2,30.67509047,N,35.21759282,E,884,PRJNA983765,Israel,Asia,Deep aquifer water,1
3,30.55503111,N,35.17672029,E,1200,PRJNA983765,Israel,Asia,Deep aquifer water,1
4,30.41493329,N,35.13908444,E,1536,PRJNA983765,Israel,Asia,Deep aquifer water,1
5,30.14358,N,35.02333,E,960,PRJNA983765,Israel,Asia,Deep aquifer water,1
6,30.67266138,N,35.23412179,E,710,PRJNA983765,Israel,Asia,Deep aquifer water,1
7,30.34969859,N,35.14052158,E,963,PRJNA983765,Israel,Asia,Deep aquifer water,1
8,30.32342605,N,35.14936652,E,643,PRJNA983765,Israel,Asia,Deep aquifer water,1
9,30.14240395,N,35.02281368,E,960,PRJNA983765,Israel,Asia,Deep aquifer water,1
10,40.2,N,-81.5,W,1000,JGI,USA,North America,Shale-produced fluids,22
11,40.411582,N,-104.348363,W,1890,PRJNA308326,USA,North America,Shale-produced fluids,45
12,29.62,N,107.54,E,2700,PRJNA287481,China,Asia,Shale-produced fluids,1
13,29.7,N,107.6,E,2700,PRJNA287481,China,Asia,Shale-produced fluids,1
14,62.717916,N,29.061823,E,500,PRJEB48900,Finland,Europe,Deep aquifer water,23
15,47.82333,N,-92.23722,W,700,PRJNA248749,USA,North America,mine fluids,6
16,37.14,N,-81.54,W,785.7,PRJNA874672,USA,North America,mine fluids,1
17,37.14,N,-81.54,W,681.3,PRJNA874672,USA,North America,mine fluids,1
18,37.14,N,-81.54,W,603.5,PRJNA874672,USA,North America,mine fluids,1
19,37.14,N,-81.54,W,598.4,PRJNA874672,USA,North America,mine fluids,1
20,37.14,N,-81.54,W,582.6,PRJNA874672,USA,North America,mine fluids,1
21,37.14,N,-81.54,W,519.4,PRJNA874672,USA,North America,mine fluids,1
22,70.3,N,-148.7,W,1300,PRJNA278302,USA,North America,oil field produced water,2
