Sample,group,country,BioProject
SRR1976948,oil,USA,PRJNA278302
SRR1977249,oil,USA,PRJNA278302
SRR1977304,oil,USA,PRJNA278302
SRR1977357,oil,USA,PRJNA278302
SRR1977365,oil,USA,PRJNA278302
SRR5352271,oil,China,PRJNA378566
SRR5352272,oil,China,PRJNA378566
SRR5352273,oil,China,PRJNA378566
SRR13427962,oil,Canada,PRJNA691618
SRR13427963,oil,Canada,PRJNA691618
SRR13427964,oil,Canada,PRJNA691618
SRR13427965,oil,Canada,PRJNA691618
SRR13427966,oil,Canada,PRJNA691618
SRR13427967,oil,Canada,PRJNA691618
SRR13427968,oil,Canada,PRJNA691618
SRR13427969,oil,Canada,PRJNA691618
SRR13427970,oil,Canada,PRJNA691618
SRR13427971,oil,Canada,PRJNA691618
SRR10302630,oil,USA,PRJNA578106
SRR10302631,oil,USA,PRJNA578106
SRR10302632,oil,USA,PRJNA578106
SRR10302633,oil,USA,PRJNA578106
SRR12344465,oil,USA,PRJNA613490
SRR12344466,oil,USA,PRJNA613490
SRR12344468,oil,USA,PRJNA613490
CRR933400,oil,Kazakhstan,PRJCA020971
CRR933435,oil,China,PRJCA020971
CRR933436,oil,China,PRJCA020971
CRR933437,oil,China,PRJCA020971
CRR933404,oil,China,PRJCA020971
CRR933438,oil,China,PRJCA020971
CRR933443,oil,China,PRJCA020971
CRR933405,oil,China,PRJCA020971
CRR933439,oil,China,PRJCA020971
CRR933440,oil,China,PRJCA020971
CRR933441,oil,China,PRJCA020971
CRR933406,oil,China,PRJCA020971
CRR933442,oil,China,PRJCA020971
CRR933407,oil,China,PRJCA020971
CRR933321,oil,China,PRJCA020971
CRR933322,oil,China,PRJCA020971
CRR933323,oil,China,PRJCA020971
CRR933431,oil,China,PRJCA020971
CRR933432,oil,China,PRJCA020971
CRR933433,oil,China,PRJCA020971
CRR933434,oil,China,PRJCA020971
CRR933408,oil,China,PRJCA020971
CRR933409,oil,China,PRJCA020971
CRR933411,oil,China,PRJCA020971
CRR933412,oil,China,PRJCA020971
CRR933413,oil,China,PRJCA020971
CRR933410,oil,China,PRJCA020971
CRR933414,oil,China,PRJCA020971
CRR933415,oil,China,PRJCA020971
CRR933416,oil,China,PRJCA020971
CRR933325,oil,China,PRJCA020971
CRR933417,oil,China,PRJCA020971
CRR933393,oil,China,PRJCA020971
CRR933418,oil,China,PRJCA020971
CRR933419,oil,China,PRJCA020971
CRR933394,oil,China,PRJCA020971
CRR933395,oil,China,PRJCA020971
CRR933420,oil,China,PRJCA020971
CRR933319,oil,China,PRJCA020971
CRR933318,oil,China,PRJCA020971
CRR933320,oil,China,PRJCA020971
CRR933427,oil,China,PRJCA020971
CRR933396,oil,China,PRJCA020971
CRR933426,oil,China,PRJCA020971
CRR933399,oil,Kazakhstan,PRJCA020971
CRR933401,oil,Kazakhstan,PRJCA020971
CRR933324,oil,China,PRJCA020971
CRR933402,oil,China,PRJCA020971
CRR933403,oil,China,PRJCA020971
CRR933397,oil,China,PRJCA020971
CRR933428,oil,China,PRJCA020971
CRR933429,oil,China,PRJCA020971
CRR933398,oil,China,PRJCA020971
CRR933430,oil,China,PRJCA020971
CRR933421,oil,China,PRJCA020971
CRR933422,oil,China,PRJCA020971
CRR933423,oil,China,PRJCA020971
CRR933424,oil,China,PRJCA020971
CRR933425,oil,China,PRJCA020971
Unknown_BV499.003R0001_good,oil,China,PRJCA047381
Unknown_BV499.003R0002_good,oil,China,PRJCA047381
Unknown_BV499.003R0003_good,oil,China,PRJCA047381
Unknown_BV499.003R0004_good,oil,China,PRJCA047381
Unknown_BV499.003R0006_good,oil,China,PRJCA047381
Unknown_BV499.003R0007_good,oil,China,PRJCA047381
Unknown_BV499.003R0009_good,oil,China,PRJCA047381
