	CRR933318	CRR933319	CRR933320	CRR933321	CRR933322	CRR933323	CRR933324	CRR933325	CRR933393	CRR933394	CRR933395	CRR933396	CRR933397	CRR933398	CRR933399	CRR933400	CRR933401	CRR933402	CRR933403	CRR933404	CRR933405	CRR933406	CRR933407	CRR933408	CRR933409	CRR933410	CRR933411	CRR933412	CRR933413	CRR933414	CRR933415	CRR933416	CRR933417	CRR933418	CRR933419	CRR933420	CRR933421	CRR933422	CRR933423	CRR933424	CRR933425	CRR933426	CRR933427	CRR933428	CRR933429	CRR933430	CRR933431	CRR933432	CRR933433	CRR933434	CRR933435	CRR933436	CRR933437	CRR933438	CRR933439	CRR933440	CRR933441	CRR933442	CRR933443	SRR10302630	SRR10302631	SRR10302632	SRR10302633	SRR12344465	SRR12344466	SRR12344468	SRR13427962	SRR13427963	SRR13427964	SRR13427965	SRR13427966	SRR13427967	SRR13427968	SRR13427969	SRR13427970	SRR13427971	SRR1976948	SRR1977249	SRR1977304	SRR1977357	SRR1977365	SRR5352271	SRR5352272	SRR5352273	Unknown_BV499.003R0001_good	Unknown_BV499.003R0002_good	Unknown_BV499.003R0003_good	Unknown_BV499.003R0004_good	Unknown_BV499.003R0006_good	Unknown_BV499.003R0007_good	Unknown_BV499.003R0009_good
Sg_CRR933318_bin.11	4540.7163	0	1580.9958	0	0	0	0	6.6568213	0	0	0	0	54.001846	0	0	0	0	0	0	0	0	0	0	65.804245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.748244	0	115.32541	20.48991	0	0	0	0	46.70209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933318_bin.13	51508.51	19.590916	4175.949	0	0	0	74.83669	99.524284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.24712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384.29816	0	0
Sg_CRR933318_bin.14	4373.43	4569.1147	324.756	0	203.66055	0	39728.45	1075.3657	0	105.93254	499.78302	0	0	258.30862	0	830.08875	0	291.45444	3943.5835	132.1456	575.26434	394.58347	231.92937	0	0	0	0	0	0	0	0	0	0	65.266075	277.91156	0	110.92724	203.58134	4642.4375	299.83163	9690.229	181.74231	22.354568	10.129225	102.66453	136.90855	1059.9485	70.735275	216.8216	38.444313	102.92883	1320.6421	198.60458	351.45187	0	0	24.688833	427.91373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933318_bin.16	16257.96	0	774.9514	0	0	0	0	0	9488.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9620.028	583.45026	0	0	0	0	0	0	0	0	0	14342.949	8497.413	0	0	0	0	0	0	0	0	0	0	633.8381	1514.9548	501.25677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933318_bin.17	814.887	0	61.909763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.320353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933318_bin.18	22706.723	768.0113	964.3741	0	0	0	0	5.991896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.57236	60.826836	0	0	35.151	0	0	0	0	136.81316	0	0	0	0	0	0	0	0	0	99.63217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933318_bin.2	936.2732	0	276.77927	0	0	0	0	0	0	1478.7394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.7929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933318_bin.21	10809.263	0	614.60675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933318_bin.22	7066.845	0	1054.4104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.00853	109.15718	0	0	0	0	0	0	0	0	0	0	0	572.7364	0	0	0	0	0	94.22913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sg_CRR933318_bin.23	14545.509	0	891.16016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
