MAG,Domain,Phylum,Class,Order,Family,Genus,Species
Sg_CRR933318_bin.29,Archaea,Thermoplasmatota,B47-G6,B47-G6B,47-G6,B47-G6,Unassigned
Sg_CRR933321_bin.42,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,SKW153,SKW153,Unassigned
Sg_CRR933322_bin.36,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus sp030019085
Sg_CRR933400_bin.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Unassigned
Sg_CRR933403_bin.10,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Unassigned
Sg_CRR933403_bin.11,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,UBA472,UBA472 sp8940u
Sg_CRR933403_bin.20,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanofollaceae,Methanofollis,Methanofollis liminatans
Sg_CRR933403_bin.7,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp8098u
Sg_CRR933403_bin.9,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Unassigned
Sg_CRR933410_bin.18,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,DSM-23052,Methanothermobacter_A,Methanothermobacter_A sp001507955
Sg_CRR933411_bin.5,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,JAQUUA01,Unassigned
Sg_CRR933412_bin.30,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Unassigned
Sg_CRR933418_bin.11,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,DSM-23052,Methanothermobacter_A,Methanothermobacter_A sp001507955
Sg_CRR933422_bin.2,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,WYZ-LMO2,Unassigned
Sg_CRR933422_bin.28,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,Thermosphaera,Thermosphaera aggregans_B
Sg_CRR933422_bin.30,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,NBVN01,Zestosphaera,Unassigned
Sg_CRR933422_bin.46,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,Unassigned
Sg_CRR933423_bin.70,Archaea,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,Thermofilum,Thermofilum adornatum
Sg_CRR933432_bin.100,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Unassigned
Sg_CRR933432_bin.230,Archaea,Micrarchaeota,Micrarchaeia,Anstonellales,JAHKLY01,JAHKLY01,JAHKLY01 sp020854825
