"genome","Occupancy","Mean_Relative_Abundance","Domain","Phylum","Class","Order","Family","Genus","Species"
"Sg_CRR933318_bin.11",9.89010989010989,0.0070839990049565,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Arachnia","Unassigned"
"Sg_CRR933318_bin.13",7.69230769230769,0.0618900349187837,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E putida_Y"
"Sg_CRR933318_bin.14",41.7582417582418,0.0847186856182452,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas aurantiaca"
"Sg_CRR933318_bin.16",10.989010989011,0.0683683334912785,"Bacteria","Pseudomonadota","Alphaproteobacteria","Oceanibaculales","Oceanibaculaceae","Oceanibaculum","Unassigned"
"Sg_CRR933318_bin.17",3.2967032967033,0.000971556842879257,"Bacteria","Bacillota","Clostridia","Lachnospirales","Cellulosilyticaceae","FMMP01","FMMP01 sp029239935"
"Sg_CRR933318_bin.18",9.89010989010989,0.0273704226144883,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alishewanella","Alishewanella agri"
"Sg_CRR933318_bin.2",4.3956043956044,0.00312481817905539,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Pleomorphomonas","Pleomorphomonas sp023721755"
"Sg_CRR933318_bin.21",2.1978021978022,0.0125536972343335,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella","Unassigned"
"Sg_CRR933318_bin.22",6.59340659340659,0.00983009135310049,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Unassigned"
"Sg_CRR933318_bin.23",2.1978021978022,0.0169633649513883,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea","Unassigned"
"Sg_CRR933318_bin.27",38.4615384615385,0.0510010854672163,"Bacteria","Thermotogota","Thermotogae","Thermotogales","DSM-5069","Pseudothermotoga_A","Pseudothermotoga_A hypogea"
"Sg_CRR933318_bin.28",12.0879120879121,0.348956336620738,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales_A","Thalassospiraceae","Thalassospira","Thalassospira xianhensis"
"Sg_CRR933318_bin.29",4.3956043956044,0.0160017330342451,"Archaea","Thermoplasmatota","B47-G6","B47-G6B","47-G6","B47-G6","Unassigned"
"Sg_CRR933318_bin.30",19.7802197802198,0.12727031086543,"Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas_A","Pseudoxanthomonas_A spadix"
"Sg_CRR933318_bin.31",13.1868131868132,0.0286945856783934,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium","Unassigned"
"Sg_CRR933318_bin.6",23.0769230769231,0.10772417127587,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas","Unassigned"
"Sg_CRR933319_bin.11",2.1978021978022,0.000658264568198655,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","DSM-6294","Venatoribacter","Unassigned"
"Sg_CRR933319_bin.14",4.3956043956044,0.0116775455990857,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Acidaminobacteraceae","Fusibacter_C","Unassigned"
"Sg_CRR933319_bin.16",3.2967032967033,0.0193197201499014,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Aquabacterium","Aquabacterium sp017989885"
"Sg_CRR933319_bin.17",2.1978021978022,0.0680097595137881,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","EhC02","EhC02 sp024304855"
"Sg_CRR933319_bin.18",1.0989010989011,0.000863002114441372,"Bacteria","Bacillota","Bacilli_A","Acholeplasmatales","UBA5453","Paracholeplasma","Unassigned"
"Sg_CRR933319_bin.2",10.989010989011,0.0132846427786433,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E oleovorans"
"Sg_CRR933319_bin.20",16.4835164835165,0.00748799015411736,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Unassigned"
"Sg_CRR933319_bin.21",6.59340659340659,0.113827939348431,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paenirhodobacter","Paenirhodobacter hankyongi"
"Sg_CRR933319_bin.25",7.69230769230769,0.0114118122196706,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Acidovorax","Acidovorax defluvii"
"Sg_CRR933319_bin.27",4.3956043956044,0.00480066694214688,"Bacteria","Bacillota","Clostridia","Saccharofermentanales","UBA5734","UBA5734","UBA5734 sp002419145"
"Sg_CRR933319_bin.30",4.3956043956044,0.0168038239894822,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","UBA1877","Sulfurospirillum_B","Sulfurospirillum_B tamanensis"
"Sg_CRR933319_bin.31",3.2967032967033,0.000766652717192619,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caedimonadales","UBA9215","Unassigned","Unassigned"
"Sg_CRR933319_bin.35",5.49450549450549,0.00421007243761771,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea","Unassigned"
"Sg_CRR933319_bin.6",2.1978021978022,0.00136962045312913,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Acidaminobacteraceae","Acidaminobacter","Unassigned"
"Sg_CRR933319_bin.9",1.0989010989011,0.00283531642942215,"Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Denitrovibrionaceae","Seleniivibrio","Unassigned"
"Sg_CRR933320_bin.1",2.1978021978022,0.00282033488759605,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Cellulomonadaceae","Cellulomonas","Unassigned"
"Sg_CRR933320_bin.18",4.3956043956044,0.00138667616943972,"Bacteria","Pseudomonadota","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Pelagibius","Unassigned"
"Sg_CRR933320_bin.19",2.1978021978022,0.00369140807317039,"Bacteria","Pseudomonadota","Alphaproteobacteria","Azospirillales","Azospirillaceae","Arenibaculum","Unassigned"
"Sg_CRR933320_bin.22",15.3846153846154,0.05396020460896,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Croceibacterium","Unassigned"
"Sg_CRR933320_bin.26",7.69230769230769,0.00148768488269823,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","DUSC01","Unassigned"
"Sg_CRR933320_bin.3",4.3956043956044,0.0432684780730043,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","EhC02","EhC02 sp024304985"
"Sg_CRR933320_bin.30",1.0989010989011,0.00551667866249596,"Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Unassigned"
"Sg_CRR933320_bin.33",3.2967032967033,0.00100671957200163,"Bacteria","Bacillota","JACIYH01","JACIYH01","JACIYH01","Unassigned","Unassigned"
"Sg_CRR933320_bin.34",5.49450549450549,0.00339937099660716,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Unassigned"
"Sg_CRR933320_bin.35",1.0989010989011,0.0019909897056789,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Microbacteriaceae","Homoserinimonas","Unassigned"
"Sg_CRR933320_bin.39",23.0769230769231,0.0749283197352567,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Seramator","Unassigned"
"Sg_CRR933320_bin.41",13.1868131868132,0.0109361862507324,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Unassigned"
"Sg_CRR933320_bin.5",10.989010989011,0.313583328633361,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","Sulfurospirillum sp002452855"
"Sg_CRR933320_bin.6",4.3956043956044,0.00629645410450633,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Salinimicrobium","Unassigned"
"Sg_CRR933320_bin.7",5.49450549450549,0.00225152355005341,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","Ochrobactrum sp006345815"
"Sg_CRR933321_bin.1",10.989010989011,0.381769846407417,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azonexus","Unassigned"
"Sg_CRR933321_bin.10",1.0989010989011,0.00228301492509059,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","UBA1422","Unassigned"
"Sg_CRR933321_bin.12",5.49450549450549,0.00161770202931061,"Bacteria","Margulisbacteria","WOR-1","JAKLHX01","JAKLHX01","CALFCX01","Unassigned"
"Sg_CRR933321_bin.14",7.69230769230769,0.00246364921823298,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Aminidesulfovibrio","Unassigned"
"Sg_CRR933321_bin.15",3.2967032967033,0.00869040866441904,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","MT110","Unassigned"
"Sg_CRR933321_bin.18",9.89010989010989,0.00787982503620542,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Cupidesulfovibrio","Cupidesulfovibrio sp000226255"
