"sample","Phylum","value","group","depth","group_depth","country","BioProject","dominant_phylum"
"CRR933318","Actinomycetota",0.471467012,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Bacillota",5.570044406,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Bacteroidota",5.161424352,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Campylobacterota",26.611765418,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Desulfobacterota",1.716189688,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Halobacteriota",0.055928362,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Methanobacteriota",0.024647773,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Omnitrophota",0,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Others",0.541588592,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Patescibacteria",0.018024097,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933318","Pseudomonadota",59.828920301,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Actinomycetota",0.018931061,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Bacillota",1.057599923,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Bacteroidota",5.656347053,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Campylobacterota",38.018374765,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Desulfobacterota",0.50983096,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Halobacteriota",0.012987749,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Methanobacteriota",0.07419987,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Omnitrophota",0,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Others",1.329405963,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Patescibacteria",0.005397819,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933319","Pseudomonadota",53.316924846,"oil",1350,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Actinomycetota",0.582291979,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Bacillota",0.405954347,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Bacteroidota",2.601128588,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Campylobacterota",1.505219851,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Desulfobacterota",0.863470689,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Halobacteriota",0.121936917,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Methanobacteriota",0.078520376,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Omnitrophota",0,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Others",0.378778818,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Patescibacteria",0,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
"CRR933320","Pseudomonadota",93.462698439,"oil",1357,"C","China","PRJCA020971","Pseudomonadota"
