MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_CRR933318_bin.11	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Arachnia	
Sg_CRR933318_bin.13	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E putida_Y
Sg_CRR933318_bin.14	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas aurantiaca
Sg_CRR933318_bin.16	Bacteria	Pseudomonadota	Alphaproteobacteria	Oceanibaculales	Oceanibaculaceae	Oceanibaculum	
Sg_CRR933318_bin.17	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Cellulosilyticaceae	FMMP01	FMMP01 sp029239935
Sg_CRR933318_bin.18	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alishewanella	Alishewanella agri
Sg_CRR933318_bin.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Pleomorphomonadaceae	Pleomorphomonas	Pleomorphomonas sp023721755
Sg_CRR933318_bin.21	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	
Sg_CRR933318_bin.22	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	
Sg_CRR933318_bin.23	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	Syntrophotaleaceae	Syntrophotalea	
Sg_CRR933318_bin.27	Bacteria	Thermotogota	Thermotogae	Thermotogales	DSM-5069	Pseudothermotoga_A	Pseudothermotoga_A hypogea
Sg_CRR933318_bin.28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales_A	Thalassospiraceae	Thalassospira	Thalassospira xianhensis
Sg_CRR933318_bin.30	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas_A	Pseudoxanthomonas_A spadix
Sg_CRR933318_bin.31	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium	
Sg_CRR933318_bin.6	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	
Sg_CRR933319_bin.11	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-6294	Venatoribacter	
Sg_CRR933319_bin.14	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Acidaminobacteraceae	Fusibacter_C	
Sg_CRR933319_bin.16	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium	Aquabacterium sp017989885
Sg_CRR933319_bin.17	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	EhC02	EhC02 sp024304855
Sg_CRR933319_bin.18	Bacteria	Bacillota_I	Bacilli_A	Acholeplasmatales	UBA5453	Paracholeplasma	
Sg_CRR933319_bin.2	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E oleovorans
Sg_CRR933319_bin.20	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Proteiniphilum	
Sg_CRR933319_bin.21	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paenirhodobacter	Paenirhodobacter hankyongi
Sg_CRR933319_bin.25	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax defluvii
