Method,GroupBasedOn,Group,Index,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72,Bin73,Bin74,Bin75,Bin76,Bin77,Bin78,Bin79,Bin80,Bin81,Bin82,Bin83,Bin84,Bin85,Bin86,Bin87,Bin88,Bin89,Bin90,Bin91,Bin92,Bin93,Bin94,Bin95,Bin96,Bin97,Bin98,Bin99,Bin100,Bin101,Bin102,Bin103,Bin104,Bin105,Bin106,Bin107,Bin108,Bin109,Bin110,Bin111,Bin112,Bin113,Bin114,Bin115,Bin116,Bin117,Bin118,Bin119,Bin120,Bin121,Bin122,Bin123,Bin124,Bin125,Bin126,Bin127,Bin128,Bin129,Bin130,Bin131,Bin132,Bin133,Bin134,Bin135,Bin136
CbMPDiCbraya,group,oil_field,HeS,0.054125265,0.169444542,0.209917537,0.134181193,0.270890369,0.02829393,0.039200845,0.053367193,0.314763487,0.026462744,0.08074378,0.110601518,0.08682567,0.354605596,0.237865717,0.003361156,0.147588091,0.216736476,0.054099615,0.20162437,0.209256656,0.109354987,0.061079817,0.221209165,0.026202858,0.02038742,0.003029722,0.220941973,0.220779111,0.00443313,0.01308107,0.182441462,0.062773397,0.004218525,0.167899652,0.391097041,0.020840274,0.230404512,0.001819235,0.004615394,0.016303369,0.03519986,0.045323192,0.075079452,0.000459098,0,0.282497005,0.266112994,0.013337571,0.189559982,0.167681157,0.195047481,0.037400812,0.016390838,0.09719666,0.117890482,0.178965908,0.113492523,0.316056604,0.144660008,0,0.185304798,0.145961893,0,0.077002558,0.004426437,0.069346991,0.071405008,0.104552792,0.376288844,0.040038701,0.173093776,0,0.002490856,0.174550371,0.097650538,0,0.004039372,0.067495333,0.017493766,0.031275781,0,0.36082805,0.077090201,0.027025486,0.085835674,0.403775506,0.005886826,0.755671314,0.340382231,0.272447202,0.012027134,0,0.154215424,0.006614309,0.229105727,0.123190781,0.052494881,0.028054779,0.012645254,0.021374918,0.113931986,0.19625996,0.208396525,0.244945598,0.02937248,0,0.217427764,0.144825381,0.003633185,0.630390509,0.004316858,0,0.340622428,0.020850108,0.47804134,0.128663168,0.273377847,0.736368699,0.529919464,0.125195971,0.162462614,0.233336195,0.108233089,0.231543622,0.017742101,0.001278273,0,0,0.042308765,0.320860938,0.103051842,0.405905319,0.223391519,0.189022222,0.05518511
CbMPDiCbraya,group,oil_field,HoS,0.247012442,0.519394731,0.050690835,0.591764644,0.407767977,0.160952959,0.098506049,0.239541917,0.206313407,0.06543111,0.173187571,0.029645655,0.006360998,0.285088338,0.02408507,0.021347297,0.134311315,0.029504374,0.181614836,0.313773959,0.318724576,0.066316356,0.07903818,0.065576273,0.470490759,0.048049795,0.411526981,0.276196771,0.214402804,0.01018782,0.308221429,0.26491449,0.187777981,0.19900004,0.091753586,0.034413287,0.286899646,0.092220102,0.382387271,0.066271109,0.012226425,0.005213932,0.421544321,0.316314002,0.003096638,0.081451042,0.083902897,0.181645037,0.036928608,0.605489658,0.212471958,0.007685952,0.136993631,0.025003872,0.057483355,0.193786928,0.201942955,0.04960953,0.329759754,0.148914484,0.207544846,0.098632473,0.010141529,0.001603666,0.525891038,0.126552836,0.06910064,0.121576742,0.400703368,0.15256303,0.162294521,0.368557673,0.032228256,0.029739332,0.107991344,0.027017709,0.062327122,0.012199141,0.015288622,0.011972464,0.071266359,2.67E-05,0.067433459,0.082726062,0.058180814,0.516992945,0.16154035,0.265580641,0.054972727,0.344694531,0.237107132,0.306758644,0.020601943,0.521433973,0.053132006,0.334937612,0.486810391,0.061840264,0.018675367,0.020462276,0.04248846,0.242825018,0.119243358,0.055743068,0.191096341,0.065223622,0.169879619,0.117313427,0.15199385,0.086745579,0.071404097,0.014509279,0.01584136,0.013519937,0.045043796,0.113653583,0.076265762,0.226348552,0.025991019,0.470080536,0.366894373,0.051165565,0.412831749,0.065485643,0.167097872,0.007834297,0.019890652,0.374369013,0,0.243601109,0.374362817,8.86E-06,0.006178046,0.319539142,0.041409861,0.14093108
CbMPDiCbraya,group,oil_field,DL,0.621681262,0.260129596,0.643838481,0.233756428,0.253062876,0.594150068,0.806572421,0.557328367,0.445698526,0.627406522,0.43627316,0.677998167,0.854979806,0.248785063,0.706174738,0.919003539,0.604668726,0.652094497,0.621739153,0.355639122,0.385697039,0.542422469,0.401211871,0.563227202,0.447025386,0.907227908,0.550088675,0.45660199,0.404543213,0.905757035,0.589188574,0.332728088,0.689761043,0.7529468,0.617613193,0.559625128,0.203868148,0,0.480733555,0.837276126,0.166725378,0.882324962,0.408831058,0.569316935,0.911827439,0.77948625,0.305898647,0.528917146,0.720405467,0.08475033,0.568528151,0.750563603,0.055150922,0.613146499,0.489602145,0.330374472,0.301305196,0.620735426,0.01835737,0.473086468,0,0.33702298,0.376862783,0.907186807,0.1250832,0.613429099,0.699735953,0.571711038,0.341129003,0.436314667,0.615587383,0.160357976,0.876273035,0.915704669,0.516489559,0.832320702,0.931454658,0.90803665,0.909767673,0.931723449,0.279253501,0.912221066,0.473485358,0,0.711325911,0,0.204521486,0.465943217,0,0.004729281,0,0,0.514493386,0.252693712,0.683964926,0.082129119,0,0.854925494,0,0.826981467,0.025809802,0.260855491,0.642424649,0.723468014,0.480112891,0.851197558,0.727661091,0.458265387,0.58492706,0.895274086,0.260940205,0.932009307,0.956227544,0.115357561,0.775694463,0.373667333,0.691008853,0.500273602,0.237596773,0,0.189393494,0.25296952,0.285368249,0.479867193,0.221944981,0.778529311,0.205837225,0.616099456,0.36358192,0.483843178,0.227290538,0.021721782,0.374609993,0.419389185,0.670573468,0.418459105
CbMPDiCbraya,group,oil_field,HD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CbMPDiCbraya,group,oil_field,DR,0.077181031,0.051031132,0.095553147,0.040297734,0.068278778,0.216603043,0.055720685,0.149762524,0.03322458,0.280699624,0.309795489,0.18175466,0.051833526,0.111521002,0.031874475,0.056288007,0.113431867,0.101664653,0.142546396,0.128962549,0.086321729,0.281906188,0.458670132,0.14998736,0.056280997,0.024334878,0.035354622,0.046259265,0.160274872,0.079622015,0.089508927,0.21991596,0.059687579,0.043834635,0.122733568,0.014864544,0.488391932,0.677375386,0.135059939,0.091837371,0.804744828,0.077261246,0.12430143,0.039289611,0.084616825,0.139062708,0.327701452,0.023324824,0.229328355,0.12020003,0.051318735,0.046702964,0.770454635,0.345458791,0.355717839,0.357948118,0.31778594,0.216162522,0.335826272,0.233339039,0.792455154,0.379039749,0.467033796,0.091209527,0.272023204,0.255591628,0.161816415,0.235307213,0.153614838,0.034833459,0.182079394,0.297990575,0.091498709,0.052065144,0.200968725,0.043011052,0.006218219,0.075724836,0.007448372,0.038810321,0.61820436,0.087752238,0.098253133,0.840183737,0.203467789,0.397171381,0.230162658,0.262589316,0.189355959,0.310193958,0.490445666,0.681214221,0.464904671,0.071656891,0.256288758,0.353827542,0.389998828,0.03073936,0.953269854,0.139911004,0.91032682,0.382387505,0.042072033,0.012392393,0.083845171,0.054206341,0.10245929,0.206993421,0.118253709,0.01434715,0.037265189,0.049164555,0.027931097,0.530500073,0.158411632,0.034637744,0.104062217,0,4.35E-05,0,0.318516163,0.533402302,0.068463807,0.346414075,0.379413525,0.19589429,0.77299385,0.009531531,0.63641808,0.230246948,0.077485708,0.875217518,0.213306641,0.037680154,0.098994449,0.385424705
CbMPDiCbraya,group,Deep_aquifer,HeS,0.394780418,0,0.656688191,0.036934206,0,0.001248114,0,0.007135827,0,0,0,0,NaN,0,0,NaN,0,0.408794204,0.079854152,0,0,0.334301479,0,0.250779039,0.211648689,0,NaN,0.138099752,0,0,0,0,NaN,NaN,0.540083297,0.684167886,0.147477113,0.090805463,0,0,0.123085861,0,0.132929893,0,0,0.239607368,0.033994843,0.013016895,0,0.23775335,0,0.143507959,0,0.082656223,0,0,NaN,0.047099646,NaN,0.61818764,0,0,0,0,0,0.03264483,0.018360985,0,0.103432412,0,0.042553191,0,NaN,0,NaN,0,NaN,NaN,0,0,0,0.009315316,0,0,0.374143699,0,0,1,NaN,0.593026881,0.030888537,0,0,0.009985063,0.073102841,0,0,0,0,0,0.000324659,0,0,NaN,NaN,0.020959019,0.021276596,0.253828205,0,NaN,0.030742622,0,0,0.022825955,0,0,0.827876968,NaN,NaN,NaN,NaN,0,NaN,0,0.000683287,0.041910681,0,0,0.180073962,0,0,0,0,0,0.314605654,0
CbMPDiCbraya,group,Deep_aquifer,HoS,0.300809312,0.043463817,0.102916006,0.025988507,0.539490213,0.001589697,0.021276596,0.043676316,0.021276596,0.038954174,0.000714116,0.000574425,NaN,0,0,NaN,0,0.237564311,0.537124795,0,0.123877938,0.455457721,0.044719793,0.472442009,0.187400504,0.033058063,NaN,0.420997159,0.17014182,0.017810909,0.042553191,0.000316736,NaN,NaN,0.440617152,0.272580994,0.272545682,0.603131659,0,0.085106383,0.876914139,0.039987611,0.229876134,0,0.006473828,0.248796825,0.065859585,0.255118442,0.042553191,0.65208266,0.042553191,0.033664803,0.018907849,0,0.025179415,0.085106383,NaN,0.062193909,NaN,0.255775325,0.480878567,0.109034744,0.006064883,0.01084971,0.002098018,0.241286776,0.340031609,0.007398389,0.03065764,0.057708619,0.021276596,0.021274618,NaN,0,NaN,0.016168747,NaN,NaN,0,0.108699732,0.0044102,0.000597288,0.077824974,0.020970335,0.195476429,0,0.005570758,0,NaN,0.288480307,0.009264267,0.066567038,0,0.013180975,0.066252672,0,0,0.075490153,0.041763771,0,0.254702146,0.221161392,0,NaN,NaN,0.000745688,0,0.193653316,0.468351411,NaN,0.011810569,0,0,0.542016932,0.050864015,0.001056213,0.068159065,NaN,NaN,NaN,NaN,0,NaN,0.01165709,0.971411087,0.039338368,0,0.021276596,0.138450729,0.008557185,0.021276596,0.309370861,0.021276596,0,0,0.07023122
CbMPDiCbraya,group,Deep_aquifer,DL,0.080272003,0.199360404,0,0,0,0.996686471,0,0,0.937935325,0.871707102,0.204100655,0.505700058,NaN,0,0,NaN,0.473775914,0,0.0332486,0.359592952,0.160883724,0,0.007405033,0,0,0.040217885,NaN,0,0.027323274,0,0,0.748870873,NaN,NaN,0.019256519,0.035676612,0.007541903,0.111659227,0,0.09913005,0,0,0,0,0.83130192,0,0.20089509,0,0.846267738,0.058608113,0.155679446,0.729675309,0.020502511,0.89749818,0.827828179,0,NaN,0,NaN,0.062689452,0.085300408,0.849625246,0.665934081,0.80275362,0.940728247,0.390196279,0.118302964,0.914552552,0.818506969,0.452810342,0.489817262,0.754680015,NaN,0.996177591,NaN,0.920588508,NaN,NaN,0,0.424744297,0.883776422,0.418708237,0.860035123,0,0,0,0,0,NaN,0.066568233,0.905445322,0.883617748,0.680851064,0.511107897,0.841527133,0.237651959,0,0.799113249,0.694816129,0,0.355636026,0.494122958,0,NaN,NaN,0.8468617,0,0,0,NaN,0,1,1,0.316314049,0.558205116,0.987401357,0.083129451,NaN,NaN,NaN,NaN,0,NaN,0.565669877,0.021261412,0.762856824,0.669952885,0.086643374,0.577318993,0.516959354,0,0.637876546,0.978723404,0,0.685394346,0.646992984
CbMPDiCbraya,group,Deep_aquifer,HD,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0
CbMPDiCbraya,group,Deep_aquifer,DR,0.224138268,0.757175779,0.240395803,0.937077287,0.460509787,0.000475718,0.978723404,0.949187857,0.040788079,0.089338724,0.795185229,0.493725518,NaN,1,1,NaN,0.526224086,0.353641485,0.349772453,0.640407048,0.715238338,0.2102408,0.947875174,0.276778952,0.600950807,0.926724052,NaN,0.440903089,0.802534906,0.982189091,0.957446809,0.250812391,NaN,NaN,4.30E-05,0.007574509,0.572435302,0.194403651,1,0.815763567,0,0.960012389,0.637193973,1,0.162224252,0.511595806,0.699250483,0.731864663,0.111179071,0.051555878,0.801767363,0.09315193,0.960589641,0.019845598,0.146992406,0.914893617,NaN,0.890706445,NaN,0.063347583,0.433821025,0.04134001,0.328001036,0.18639667,0.057173735,0.335872116,0.523304442,0.07804906,0.04740298,0.489481039,0.446352951,0.224045367,NaN,0.003822409,NaN,0.063242745,NaN,NaN,1,0.46655597,0.111813378,0.571379159,0.062139903,0.979029665,0.430379873,1,0.994429242,0,NaN,0.051924578,0.054401875,0.049815214,0.319148936,0.465726065,0.019117354,0.762348041,1,0.125396598,0.2634201,1,0.389337169,0.28471565,1,NaN,NaN,0.131433593,0.978723404,0.552518479,0.531648589,NaN,0.957446809,0,0,0.118843064,0.390930868,0.011542429,0.020834516,NaN,NaN,NaN,NaN,1,NaN,0.422673033,0.006644215,0.155894127,0.330047115,0.892080031,0.104156316,0.474483461,0.978723404,0.052752594,0,1,0,0.282775796
