,ID,Bin,TaxonRelativeAbundance,Domain,Phylum,Class,Order,Family,Genus,Species
1,Sg_CRR933318_bin.29,Bin124,5.76E-05,Archaea,Thermoplasmatota,B47-G6,B47-G6B,47-G6,B47-G6,Unassigned
2,Sg_CRR933321_bin.42,Bin126,7.83E-06,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,SKW153,SKW153,Unassigned
3,Sg_CRR933322_bin.36,Bin121,0.000262534,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanoculleaceae,Methanoculleus,Methanoculleus sp030019085
4,Sg_CRR933400_bin.1,Bin119,0.000501695,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,Unassigned
5,Sg_CRR933403_bin.10,Bin125,1.72E-05,Archaea,Methanobacteriota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Unassigned
6,Sg_CRR933403_bin.11,Bin124,2.84E-05,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,UBA472,UBA472 sp8940u
7,Sg_CRR933403_bin.20,Bin121,3.80E-05,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanofollaceae,Methanofollis,Methanofollis liminatans
8,Sg_CRR933403_bin.7,Bin123,2.40E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp8098u
9,Sg_CRR933403_bin.9,Bin121,0.000696329,Archaea,Halobacteriota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocalculus,Unassigned
10,Sg_CRR933410_bin.18,Bin125,0.002780594,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,DSM-23052,Methanothermobacter_A,Methanothermobacter_A sp001507955
11,Sg_CRR933411_bin.5,Bin124,1.43E-05,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,JAQUUA01,Unassigned
12,Sg_CRR933412_bin.30,Bin123,1.22E-05,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Unassigned
